username,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,Label
_sylvialestari,0.0,3.33,3.33,2.5,4.0,Openness
baksopangsitnya,3.75,3.33,5.56,6.25,7.0,Openness
rkismaniar,3.75,3.33,5.56,2.5,8.0,Openness
syaufanada,0.0,1.11,5.56,5.0,2.0,Conscientiousness
nanasambara,3.75,4.44,4.44,1.25,3.0,Agreeableness
nurrohman95_,0.0,3.33,4.44,3.75,6.0,Openness
vanessafines,3.75,2.22,5.56,2.5,6.0,Openness
avidazr,6.25,3.33,2.22,6.25,4.0,Extraversion
alifahdellaf,6.25,3.33,2.22,5.0,5.0,Extraversion
ssjnhfi,2.5,4.44,5.56,3.75,6.0,Openness
wulandrshrmn,1.25,4.44,1.11,3.75,5.0,Openness
srirhmnovianti,1.25,2.22,3.33,1.25,3.0,Conscientiousness
jayantiftryn,1.25,2.22,0.0,2.5,1.0,Neuroticism
bvanggraeni,5.0,5.56,5.56,1.25,6.0,Openness
firdahanifa_,0.0,4.44,4.44,5.0,5.0,Neuroticism
ddyahestr,3.75,4.44,5.56,5.0,7.0,Openness
ocintaaa,3.75,2.22,5.56,5.0,5.0,Conscientiousness
liawrdhani,1.25,0.0,0.0,6.25,2.0,Neuroticism
breaktherulesII,3.75,4.44,5.56,3.75,5.0,Conscientiousness
husnavinaa,2.5,3.33,3.33,2.5,4.0,Openness
adinnda_ekhaa,3.75,4.44,4.44,6.25,5.0,Neuroticism
rahmaarindapp,5.0,4.44,5.56,5.0,4.0,Conscientiousness
puteriroro,5.0,2.22,5.56,2.5,5.0,Conscientiousness
mellamotis,6.25,2.22,4.44,5.0,5.0,Extraversion
tahtaallfina,5.0,4.44,4.44,3.75,7.0,Openness
rrtazr_,3.75,2.22,2.22,5.0,6.0,Openness
meniaclosia,3.75,2.22,5.56,0.0,5.0,Conscientiousness
adityandr,2.5,4.44,5.56,5.0,3.0,Conscientiousness
northenlight18,5.0,4.44,2.22,0.0,4.0,Extraversion
claravanzaitand,0.0,0.0,1.11,6.25,0.0,Neuroticism
claramood,3.75,2.22,4.44,2.5,4.0,Conscientiousness
suciramadhaani1,0.0,2.22,3.33,3.75,4.0,Openness
inesprat_,3.75,3.33,3.33,0.0,7.0,Openness
yulfaariza,2.5,3.33,5.56,2.5,3.0,Conscientiousness
rohanahrey,6.25,3.33,4.44,1.25,1.0,Extraversion
lalapocah,3.75,4.44,2.22,3.75,8.0,Openness
arindyaf,6.25,5.56,5.56,3.75,7.0,Openness
gieskalaila,2.5,4.44,4.44,0.0,6.0,Openness
ranian__,2.5,5.56,3.33,6.25,5.0,Neuroticism
chican__,3.75,4.44,2.22,3.75,3.0,Agreeableness
sekarumn,3.75,2.22,3.33,2.5,8.0,Openness
joeniararief,3.75,4.44,3.33,2.5,6.0,Openness
amhryn,6.25,4.44,5.56,3.75,7.0,Openness
brilliaflah,5.0,4.44,5.56,1.25,7.0,Openness
hasnaputtihadi01,1.25,5.56,2.22,5.0,3.0,Agreeableness
linggaralfi,5.0,3.33,1.11,1.25,6.0,Openness
fhrz99,5.0,5.56,5.56,6.25,6.0,Neuroticism
gemputh,5.0,2.22,3.33,3.75,4.0,Extraversion
destaard,5.0,4.44,5.56,1.25,5.0,Conscientiousness
hendritamei1,1.25,0.0,1.11,3.75,2.0,Neuroticism
octaviany29,1.25,4.44,5.56,3.75,4.0,Conscientiousness
anggalungg,1.25,5.56,1.11,6.25,5.0,Neuroticism
rianita_sm,3.75,4.44,5.56,5.0,4.0,Conscientiousness
owltownroad,3.75,4.44,4.44,5.0,7.0,Openness
nabilabilce,6.25,5.56,5.56,1.25,3.0,Extraversion
ayunsaskiya,5.0,4.44,5.56,6.25,4.0,Neuroticism
siti89nurjanah,3.75,3.33,5.56,6.25,6.0,Neuroticism
iphune,3.75,5.56,4.44,5.0,6.0,Openness
vanillasvgar,2.5,3.33,5.56,3.75,6.0,Openness
kodelle_,2.5,3.33,2.22,5.0,5.0,Neuroticism
danastripr,6.25,3.33,5.56,2.5,5.0,Extraversion
strybycy,3.75,4.44,2.22,1.25,2.0,Agreeableness
phoebee_ip,1.25,2.22,2.22,5.0,6.0,Openness
muharafas,5.0,4.44,4.44,3.75,7.0,Openness
kalisnakal,5.0,5.56,5.56,6.25,7.0,Openness
inhaafria,5.0,4.44,5.56,1.25,4.0,Conscientiousness
hlutami,6.25,5.56,5.56,6.25,7.0,Openness
r_fiika,3.75,3.33,4.44,1.25,5.0,Openness
ukhtihf,1.25,1.11,0.0,5.0,5.0,Neuroticism
hidadahida,2.5,4.44,5.56,5.0,7.0,Openness
sayhellovictory,2.5,3.33,1.11,5.0,2.0,Neuroticism
amlftr,5.0,5.56,1.11,1.25,4.0,Agreeableness
attamufid,3.75,4.44,2.22,3.75,3.0,Agreeableness
dindaant,5.0,4.44,3.33,2.5,3.0,Extraversion
lullabyuwu,3.75,4.44,5.56,5.0,7.0,Openness
rpdelimaa,6.25,4.44,5.56,0.0,5.0,Extraversion
serli_dn,1.25,4.44,0.0,6.25,2.0,Neuroticism
risdahlbs,3.75,2.22,5.56,2.5,7.0,Openness
hanipahafsa_,5.0,4.44,5.56,3.75,5.0,Conscientiousness
rennygstn@gmail.com,5.0,3.33,3.33,5.0,7.0,Openness
athayaanabila,5.0,4.44,5.56,1.25,3.0,Conscientiousness
reynitadiana,5.0,3.33,2.22,6.25,3.0,Neuroticism
pelangikecilll,3.75,3.33,2.22,6.25,6.0,Neuroticism
iffamee,3.75,4.44,1.11,3.75,0.0,Agreeableness
jsttx_,3.75,4.44,5.56,5.0,5.0,Conscientiousness
clv_a,3.75,4.44,5.56,2.5,6.0,Openness
yovimelan,6.25,5.56,2.22,3.75,5.0,Extraversion
attuyaw,2.5,2.22,1.11,1.25,2.0,Extraversion
yulinwt,1.25,4.44,4.44,2.5,5.0,Openness
destychaniaa,2.5,4.44,4.44,6.25,5.0,Neuroticism
sweetenxerrrr,3.75,2.22,3.33,6.25,5.0,Neuroticism
lulufrdni,3.75,4.44,4.44,2.5,1.0,Agreeableness
yunitaragil_29,3.75,5.56,3.33,3.75,1.0,Agreeableness
youcan_it,5.0,5.56,5.56,5.0,6.0,Openness
nissaisf,1.25,2.22,3.33,3.75,4.0,Openness
asriyahasry,5.0,3.33,4.44,2.5,6.0,Openness
