Words,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
aksiomatis,0,0,0,0,0,0,0,0,0,1
aktif,0,0,0,0,0,0,0,0,0,0
aktiva,1,0,0,0,0,0,0,0,0,0
aktivitas,0,0,0,1,0,0,0,0,0,0
aktor,0,0,0,0,0,0,1,0,0,0
aktualitas,0,0,0,0,0,0,0,0,0,0
aktuaris,0,0,0,0,0,0,0,0,0,0
aku dosa,0,0,0,0,1,1,0,0,0,0
akuarium,0,0,0,0,0,0,0,0,0,0
akuisisi,1,0,0,1,0,0,0,0,0,0
akumulasi,0,0,0,0,0,0,0,0,0,0
akun,0,0,0,0,0,0,0,0,0,1
akuntabel,1,0,0,0,0,0,0,0,0,1
akuntabilitas,1,0,0,0,0,0,0,0,0,1
akuntan,0,0,0,0,0,0,0,0,0,1
akuntansi,0,0,0,0,0,0,0,0,0,0
akupunktur,0,0,0,0,0,0,0,0,0,0
akusatif,0,1,0,0,0,0,0,0,0,0
akustik,0,0,0,0,0,0,0,0,0,0
akut,0,0,0,0,0,0,0,0,0,0
ala marmar,0,0,0,0,0,0,0,0,0,0
alam,1,0,0,0,0,0,0,0,0,1
alam semesta,0,0,0,0,0,0,0,0,0,0
alamat,1,0,0,1,0,0,0,0,0,0
alamat buruk,0,1,0,1,0,1,0,0,0,0
alarm,0,1,0,0,0,1,0,0,1,0
alas,0,1,0,0,0,0,0,0,0,0
alas tiang,0,0,0,0,0,0,0,0,0,0
alat,0,0,0,0,0,0,0,0,0,0
alat ambil sari,0,0,0,0,0,0,0,0,0,0
alat atur uap,0,0,0,0,0,0,0,0,0,0
alat kelamin,0,0,0,0,0,0,0,0,0,0
alat makan,0,0,0,0,0,0,0,0,0,0
alat potong,0,0,0,0,0,0,0,0,0,0
alat tulis,0,0,0,0,0,0,0,0,0,0
alat ukur langkah,0,0,0,0,0,0,0,0,0,0
album,0,0,0,0,0,0,1,0,0,0
alegori,0,0,0,0,0,0,0,0,0,0
alegoris,0,0,0,0,0,0,0,0,0,0
alegro,1,0,0,0,0,0,0,0,0,0
alfabet,0,0,0,0,0,0,0,0,0,0
alfabetis,0,0,0,0,0,0,0,0,0,0
alfalfa,0,0,0,0,0,0,0,0,0,0
algojo,0,1,1,0,1,1,0,1,0,0
algoritma,0,0,0,0,0,0,0,0,0,0
alibi,0,0,0,0,0,0,0,0,0,0
alienasi,0,1,0,0,0,0,0,1,0,0
alih,1,0,0,0,0,0,0,0,1,0
alimentasi,0,1,0,0,0,0,0,0,0,0
aliquot,0,0,0,0,0,0,0,0,0,0
alir,1,0,0,0,0,0,0,0,0,0
alis,0,0,0,0,0,0,0,0,0,0
aljabar,0,0,0,0,0,0,0,0,0,0
alkali,0,0,0,0,0,0,0,0,0,0
alkaloid,0,0,0,0,0,0,0,0,0,0
alkimia,0,0,0,0,0,0,0,0,0,0
alkitab,1,0,0,0,0,0,0,0,0,1
alkohol,0,1,1,0,0,0,1,1,0,0
alkoholisme,0,1,1,0,1,1,0,1,0,0
almanak,0,0,0,0,0,0,0,0,0,0
almarhum,0,1,0,0,0,0,0,1,0,0
aloha,1,0,0,1,0,0,1,0,0,0
alokasi,0,0,0,0,0,0,0,0,0,0
alpukat,0,0,0,0,0,0,0,0,0,0
altar,0,0,0,0,0,0,0,0,0,0
alternatif,0,0,0,1,0,0,0,0,0,0
alto,0,0,0,0,0,0,0,0,0,0
alur,0,0,0,0,0,0,0,1,0,0
aluvial,0,0,0,0,0,0,0,0,0,0
alveolar,0,0,0,0,0,0,0,0,0,0
amal,1,0,0,0,0,0,1,0,0,0
aman,1,0,0,0,0,0,1,0,0,1
amandel,0,0,0,0,0,0,0,0,0,0
amandemen,0,0,0,0,0,0,0,0,0,0
amat,1,1,0,0,0,0,0,0,0,0
amat kecil,0,0,0,0,0,0,0,0,0,0
amat lucu,0,0,0,0,0,0,0,0,1,0
amatir,0,0,0,0,0,0,0,0,0,0
ambang,0,1,0,1,0,1,0,0,0,0
amber,0,0,0,0,0,0,0,0,0,0
ambien,0,1,0,0,1,0,0,0,0,0
ambigu,0,1,0,0,0,0,0,0,0,0
ambil,0,1,1,0,0,0,0,0,0,0
ambil bagi,1,0,0,0,0,0,0,0,0,0
ambil kembali,0,0,0,0,0,0,0,0,0,0
ambil simpul,0,0,0,0,0,0,0,0,0,0
ambisi,1,0,0,1,0,0,1,0,0,1
ambisius,0,0,0,0,0,0,0,0,0,0
ambit,0,0,0,0,0,0,0,0,0,0
ambulans,0,0,0,0,0,1,0,0,0,1
amfetamin,0,1,0,0,1,0,0,0,0,0
amfibi,0,0,0,0,0,0,0,0,0,0
amin,0,0,0,0,0,0,0,0,0,0
amnesia,0,1,0,0,0,0,0,0,0,0
amnesti,1,0,0,0,0,0,1,0,0,0
amonia,0,0,0,0,1,0,0,0,0,0
amoralitas,0,1,1,0,1,0,0,0,0,0
amorf,0,0,0,0,0,0,0,0,0,0
amortisasi,0,0,0,0,0,0,0,0,0,1
ampersand,0,0,0,0,0,0,0,0,0,0
ampiteater,0,0,0,0,0,0,0,0,0,0
amplifikasi,0,0,0,0,0,0,0,0,0,0
amplitudo,0,0,0,0,0,0,0,0,0,0
amplop,0,0,0,0,0,0,0,0,0,0
ampuh,0,0,0,0,0,0,0,0,0,0
ampun,1,0,0,0,1,1,0,1,0,0
amputasi,0,0,0,0,0,0,0,0,0,0
amuk,0,1,1,0,0,1,0,0,0,0
amunisi,0,0,0,0,0,0,0,0,0,0
anaconda,0,1,0,0,1,1,0,0,0,0
anak,0,0,0,0,0,0,0,0,0,0
anak anjing,1,0,0,1,0,0,1,0,0,1
anak babi,0,1,0,0,0,0,0,0,0,0
anak bodoh,0,1,0,0,1,0,0,1,0,0
anak cucu,1,0,0,0,0,0,0,0,0,0
anak kucing,1,0,0,0,0,0,1,0,0,1
anak kuda,0,0,0,0,0,0,0,0,0,0
anak kuda betina,0,0,0,0,0,0,0,0,0,0
anak laki,0,1,0,0,1,0,0,0,0,0
anak nakal,0,1,1,0,0,0,0,0,0,0
anak panah,0,0,0,0,0,1,0,0,0,0
anak sungai,1,0,0,1,0,0,0,0,0,0
anak usaha,0,0,0,0,0,0,0,0,0,0
anak yatim,0,1,0,0,0,1,0,1,0,0
anal,0,1,0,0,0,0,0,0,0,0
analgesik,0,0,0,0,0,0,0,0,0,0
analis,1,0,0,1,0,0,0,0,0,1
analisa,1,0,0,0,0,0,0,0,0,1
analisis,1,0,0,0,0,0,0,0,0,1
analitik,1,0,0,0,0,0,0,0,0,1
analog,0,0,0,0,0,0,0,0,0,0
analogi,0,0,0,0,0,0,0,0,0,0
anarki,0,1,1,0,1,1,0,0,0,0
anarkis,0,1,1,0,0,1,0,0,0,0
anarkisme,0,1,1,0,0,1,0,0,0,0
anastomosis,0,0,0,0,0,0,0,0,0,0
anatomi,0,0,0,0,0,0,0,0,0,0
anatomis,0,0,0,0,0,0,0,0,0,0
ancam,0,1,1,0,1,1,0,1,1,0
ancam punah,0,1,0,0,0,1,0,0,0,0
ancang,1,0,0,0,0,0,0,0,0,0
andai,0,0,0,1,0,0,0,0,0,0
andal,1,0,0,0,0,0,0,0,0,1
androgen,0,0,0,0,0,0,0,0,0,0
aneh,0,1,0,0,1,0,0,0,0,0
aneka ragam,0,0,0,0,0,0,0,0,0,0
aneksasi,0,0,0,0,0,0,0,0,0,0
anemon,0,0,0,0,0,0,0,0,0,0
anestesi,0,0,0,0,0,0,0,0,0,0
anggap,0,0,0,0,0,0,0,0,0,0
anggar,0,1,0,1,0,0,0,0,0,0
anggar rumah tangga,0,0,0,0,0,0,0,0,0,1
anggota,0,0,0,0,0,0,1,0,0,0
anggota kongres,0,0,0,0,0,0,0,0,0,1
angguk,1,0,0,0,0,0,0,0,0,0
anggun,1,0,0,0,0,0,1,0,0,0
anggur,0,0,0,0,0,0,0,0,0,0
anggur merah,0,0,0,0,0,0,1,0,0,0
angin,0,1,0,0,0,0,0,0,0,0
angin barat,0,0,0,0,0,0,0,0,0,0
angin puyuh,0,1,0,0,0,1,0,0,0,0
angin ribut,0,1,0,0,0,1,0,0,0,0
angin topan,0,1,0,0,0,1,0,0,0,0
angina,0,1,0,0,0,1,0,0,0,0
angiografi,0,0,0,0,0,0,0,0,0,0
angka,0,0,0,0,0,0,0,0,0,1
angkat,1,0,0,1,0,0,1,0,0,1
angkat bahu,0,0,0,0,0,0,0,0,0,0
angkat laut,0,0,0,0,0,0,0,0,0,0
angker,0,0,0,0,0,0,0,0,0,0
angkuh,0,1,1,0,0,0,0,0,0,0
angkut,0,0,0,0,0,0,0,0,0,0
angkut udara,0,0,0,0,0,0,0,0,0,0
angkutan,0,0,0,1,0,0,0,0,0,1
angkutan umum,0,0,0,1,0,0,0,0,0,0
angsa,0,0,0,0,0,0,0,0,0,0
anhidrat,0,0,0,0,0,0,0,0,0,0
aniaya,0,1,1,0,1,1,0,1,0,0
animasi,0,0,0,0,0,0,0,0,0,0
anime,1,0,0,0,0,0,1,0,0,0
anjing,0,0,0,0,0,0,0,0,0,0
anjing buru,0,0,0,0,0,0,0,0,0,0
anjing greyhound,0,0,0,0,0,0,0,0,0,0
anjing hutan,0,0,0,0,0,1,0,0,0,0
anjing polisi,0,0,0,0,0,0,0,0,0,0
anjur,0,0,0,0,0,0,0,0,0,1
annular,0,0,0,0,0,0,0,0,0,0
anomali,0,1,0,0,0,1,0,0,1,0
anonim,0,1,0,0,0,0,0,0,0,0
anorganik,0,0,0,0,0,0,0,0,0,0
anotasi,0,0,0,0,0,0,0,0,0,0
ansambel,1,0,0,0,0,0,0,0,0,1
antagonis,0,1,1,0,0,0,0,0,0,0
antagonisme,0,1,1,0,0,0,0,0,0,0
antar,1,0,0,1,0,0,0,0,0,1
antar jemput,0,0,0,0,0,0,0,0,0,0
antar tidur,0,0,0,0,0,0,0,0,0,0
antara,0,0,0,0,0,0,0,0,0,1
antelop,0,0,0,0,0,0,0,0,0,0
antena,0,0,0,0,0,0,0,0,0,0
antibiotik,1,0,0,0,0,0,0,0,0,0
antibiotika,0,0,0,0,0,0,0,0,0,0
antijamur,1,0,0,0,0,0,0,0,0,1
antik,1,0,0,0,0,0,0,0,0,0
antikristus,0,1,1,0,1,1,0,0,0,0
antimon,0,0,0,0,0,0,0,0,0,0
antipati,0,1,1,0,1,0,0,0,0,0
antipeluru,1,0,0,0,0,0,0,0,0,0
antiquarian,0,0,0,0,0,0,0,0,0,0
antiseptik,1,0,0,0,0,0,0,0,0,1
antisipasi,0,0,0,1,0,0,0,0,0,0
antisipatif,0,0,0,1,0,0,0,0,0,0
antisosial,0,1,1,0,1,1,0,1,0,0
antitesis,0,1,1,0,0,0,0,0,0,0
antivirus,0,0,0,0,0,0,0,0,0,0
antologi,0,0,0,0,0,0,0,0,0,0
antraks,0,1,0,0,1,1,0,1,0,0
antre,0,1,0,0,0,0,0,0,0,0
antropologi,0,0,0,0,0,0,0,0,0,0
antusiasme,1,0,0,1,0,0,1,0,1,0
anugerah,1,0,0,0,0,0,0,0,0,0
anuitas,0,0,0,0,0,0,0,0,0,0
anulus,0,0,0,0,0,0,0,0,0,0
anumerta,0,1,0,0,0,0,0,1,0,0
anut,0,0,0,0,0,0,0,0,0,0
anyam,0,0,0,0,0,0,0,0,0,0
anyelir,0,0,0,0,0,0,0,0,0,0
aorta,0,0,0,0,0,0,0,0,0,0
apache,0,1,0,0,0,1,0,0,0,0
apak,0,1,0,0,1,0,0,0,0,0
aparat,0,0,0,0,0,0,0,0,0,0
apartemen,0,0,0,0,0,0,0,0,0,0
apati,0,1,0,0,0,0,0,1,0,0
apatis,0,1,0,0,0,0,0,1,0,0
apel,0,0,0,0,0,0,0,0,0,0
aphid,0,1,0,0,1,0,0,0,0,0
api,0,1,1,0,0,0,0,0,0,0
api suci,0,1,0,0,1,1,0,0,0,0
api unggun,0,0,0,0,0,0,0,0,0,0
apit,0,0,0,0,0,0,0,0,0,0
aplikasi,0,0,0,0,0,0,0,0,0,0
apokaliptik,0,0,0,0,0,0,0,0,0,0
apostolik,0,0,0,0,0,0,0,0,0,1
apotek,0,0,0,0,0,0,0,0,0,0
apoteker,0,0,0,0,0,0,0,0,0,1
appurtenances,0,0,0,0,0,0,0,0,0,0
apresiasi,1,0,0,0,0,0,1,0,0,1
apung,0,0,0,0,0,0,0,0,0,0
aqua,0,0,0,0,0,0,0,0,0,0
aquamarine,0,0,0,0,0,0,0,0,0,0
arah,0,0,0,0,0,0,0,0,0,0
arang,0,0,0,0,0,0,0,0,0,0
arbitrasi,0,0,0,1,0,0,0,0,0,0
arca,0,0,0,0,0,0,0,0,0,0
arcade,0,0,0,0,0,0,0,0,0,0
area,0,0,0,0,0,0,0,0,0,0
areal,0,0,0,0,0,0,0,0,0,0
aren,0,0,0,0,0,0,0,0,0,0
arena,0,0,0,0,0,0,0,0,0,0
areola,0,0,0,0,0,0,0,0,0,0
argumen,0,1,1,0,0,0,0,0,0,0
argumentasi,0,0,1,0,0,0,0,0,0,0
argumentatif,0,1,0,0,0,0,0,0,0,0
arif,0,0,0,0,0,0,0,0,0,0
arik,0,0,0,0,0,0,0,0,0,0
aristokrasi,1,0,0,0,0,0,0,0,0,0
aristokrat,0,0,0,0,0,0,0,0,0,0
arkeolog,0,0,0,0,0,0,0,0,0,0
arkeologi,1,0,0,1,0,0,0,0,0,0
arktik,0,0,0,0,0,0,0,0,0,0
arloji,0,0,0,0,0,0,0,0,0,0
armada,0,0,0,0,0,0,0,0,0,0
armada kapal,1,0,0,0,0,0,0,0,0,0
aroma,1,0,0,0,0,0,1,0,0,0
array,1,0,0,0,0,0,0,0,0,0
arsenik,0,1,0,0,1,1,0,1,0,0
arsip,0,0,0,0,0,0,0,0,0,0
arsitek,0,0,0,0,0,0,0,0,0,0
arsitektur,0,0,0,0,0,0,0,0,0,1
arthropoda,0,0,0,0,0,0,0,0,0,0
arti,0,0,0,0,0,0,0,0,0,0
artichoke,0,0,0,0,0,0,0,0,0,0
artikel,0,0,0,0,0,0,0,0,0,1
artikulasi,1,0,0,0,0,0,0,0,0,0
artileri,0,1,0,0,0,1,0,0,0,0
artis,0,0,0,0,0,0,0,0,0,0
artistik,1,0,0,0,0,0,0,0,0,0
arung,0,0,0,0,0,0,0,0,0,0
arus,0,0,0,1,0,0,0,0,0,0
arus bawah,0,0,0,0,0,0,0,0,0,0
asa,1,1,1,1,1,1,1,1,1,1
asa geli,0,0,0,0,0,0,0,0,0,0
asah,0,0,0,0,0,0,0,0,0,0
asal,0,0,0,0,0,0,0,0,0,0
asam,0,1,0,0,1,0,0,0,0,0
asap,0,1,0,0,0,0,0,0,0,0
asetat,0,0,0,0,0,0,0,0,0,0
asimetri,0,0,0,0,1,0,0,0,0,0
asimetris,0,0,0,0,0,0,0,0,0,0
asimilasi,0,0,0,0,0,0,0,0,0,0
asimtotik,0,0,0,0,0,0,0,0,0,0
asin,0,1,0,0,0,0,0,0,0,0
asing,0,1,1,0,1,1,0,1,0,0
asisten,1,0,0,0,0,0,0,0,0,1
asli,1,0,0,0,0,0,1,0,0,1
asli dalam inggris,0,0,0,0,0,0,0,0,0,0
asosiasi,0,0,0,0,0,0,0,0,0,1
asp,0,0,0,0,0,1,0,0,0,0
aspal,0,0,0,0,0,0,0,0,0,0
aspartam,0,0,0,0,0,0,0,0,0,0
aspek,0,0,0,0,0,0,0,0,0,0
aspirasi,1,0,0,1,0,0,1,0,1,1
asrama,0,0,0,0,0,0,1,1,0,0
asterisk,0,0,0,0,0,0,0,0,0,0
asteroid,0,0,0,0,0,0,0,0,0,0
astigmatisme,0,0,0,0,0,0,0,0,0,0
astral,0,0,0,0,0,0,0,0,0,0
astringen,0,1,0,0,0,0,0,0,0,0
astronaut,1,0,0,0,0,0,0,0,0,0
astronomi,0,0,0,0,0,0,0,0,0,0
asuh,0,0,0,0,0,0,0,0,0,0
asumsi,0,0,0,0,0,0,0,0,0,0
asuransi,1,0,0,0,0,0,0,0,0,1
asusila,0,1,1,0,1,1,0,1,0,0
asyik,0,0,0,0,0,0,0,0,0,0
atap,0,0,0,0,0,0,0,0,0,0
ateis,0,0,0,0,0,0,0,0,0,0
ateisme,0,1,0,0,0,0,0,0,0,0
atenuasi,0,1,0,0,0,0,0,1,0,0
aterosklerosis,0,1,0,0,0,1,0,1,0,0
atheis,0,0,0,0,0,0,0,0,0,0
atlas,0,0,0,0,0,0,0,0,0,0
atlet,1,0,0,0,0,0,0,0,0,0
atletik,0,0,0,0,0,0,0,0,0,0
atletis,1,0,0,0,0,0,0,0,0,0
atmosfer,0,0,0,0,0,0,0,0,0,0
atol,0,0,0,0,0,0,0,0,0,0
atom,1,0,0,0,0,0,0,0,0,0
atraksi,1,0,0,0,0,0,0,0,0,0
atribusi,0,0,0,0,0,0,0,0,0,0
atribut,0,0,0,0,0,0,0,0,0,0
atrium,0,0,0,0,0,0,0,0,0,0
atrophia,0,1,0,0,1,1,0,1,0,0
atur,0,0,0,0,0,0,0,0,0,0
atur kembali,0,0,0,0,0,0,0,0,0,0
audisi,0,0,0,0,0,0,0,0,0,0
audit,0,0,0,0,0,0,0,0,0,0
auditor,0,0,0,0,0,1,0,0,0,1
auditorium,0,0,0,0,0,0,0,0,0,0
augmentasi,0,0,0,0,0,0,0,0,0,0
aula,0,0,0,0,0,0,0,0,0,0
aura,1,0,0,0,0,0,0,0,0,0
aurora,0,0,0,0,0,0,0,0,0,0
auspicious,1,0,0,1,0,0,1,0,0,0
autobiografi,0,0,0,0,0,0,0,0,0,0
autopsi,0,1,0,0,1,1,0,1,0,0
avatar,1,0,0,0,0,0,0,0,0,0
awa,0,1,0,0,1,1,0,0,0,0
awak,0,0,0,0,0,0,0,0,0,1
awal,0,0,0,0,0,0,0,0,0,0
awam,0,1,0,0,0,1,0,0,0,0
awan,0,0,0,0,0,0,0,1,0,0
awan tipis,0,0,0,0,0,0,0,0,0,0
awas,0,1,0,1,0,1,0,0,0,0
awas diri,0,0,0,0,0,0,0,0,0,0
awet,1,0,0,1,0,0,1,0,1,1
ayam,0,0,0,0,0,1,0,0,0,0
ayam jantan,0,0,0,0,0,0,0,0,0,0
ayat,0,0,0,0,0,0,0,0,0,0
ayun,0,0,0,0,0,0,0,0,0,0
azimut,0,0,0,0,0,0,0,0,0,0
bab,0,0,0,0,0,0,0,0,0,0
babak,0,0,0,0,0,0,0,0,0,0
babak belur,0,1,0,0,1,1,0,1,0,0
babi,0,1,1,0,1,0,0,0,0,0
babi buta,0,1,0,0,0,0,0,1,0,0
babi hutan,0,0,0,0,0,0,0,0,0,0
baboon,0,1,0,0,1,0,0,0,0,0
babysitter,0,0,0,0,0,0,0,0,0,1
baca,1,0,0,0,0,0,0,0,0,0
baca teliti,0,0,0,0,0,0,0,0,0,0
backhoe,0,0,0,0,0,0,0,0,0,0
backpacker,0,0,0,0,0,0,0,0,0,0
badai,0,1,1,1,0,1,0,1,1,0
badai salju,0,0,0,0,0,0,0,0,0,0
badan legislatif,0,0,0,0,0,0,0,0,0,1
badut,0,1,0,1,1,0,1,0,1,0
bagal,0,1,1,0,0,0,0,0,0,1
bagasi,0,0,0,0,0,0,0,0,0,0
bagpipes,0,0,0,0,0,0,0,0,0,0
bah,0,0,0,0,1,0,0,0,0,0
bahagia,1,0,0,1,0,0,1,0,0,0
bahan,0,0,0,0,0,0,0,0,0,0
bahan bakar,0,0,0,0,0,0,0,0,0,0
bahan bumi,0,0,0,0,0,0,0,0,0,0
bahan lap,0,0,0,0,0,0,0,0,0,0
bahan makan,0,0,0,0,0,0,0,0,0,0
bahan tertawa,0,0,0,0,0,0,0,0,1,0
bahari,0,0,0,0,0,0,0,0,0,0
bahas,0,0,0,0,0,0,0,0,0,0
bahasa,0,0,0,0,0,0,0,0,0,0
bahasa aneh,0,0,0,0,0,0,0,0,0,0
bahasa daerah,0,0,0,0,0,0,0,0,0,0
bahasa hari,0,0,0,0,0,0,0,0,0,0
bahaya,0,1,1,0,1,1,0,1,0,0
bahu,1,0,0,0,0,0,0,0,0,1
bait,0,0,0,0,0,0,0,0,0,0
baja,1,0,0,0,0,1,0,0,0,1
bajak,0,1,0,0,0,1,0,0,0,0
bajak laut,0,1,1,0,0,0,0,0,0,0
baji,0,0,0,0,0,0,0,0,0,0
bajing,0,1,1,0,1,1,0,0,0,0
baju rok,0,0,0,0,0,0,0,0,0,0
bak mandi,0,0,0,0,0,0,0,0,0,0
bakar,0,1,1,0,0,1,0,0,1,0
bakar besar,0,1,1,0,0,1,0,0,0,0
bakarat,0,0,0,0,0,0,0,0,0,0
bakat,1,0,0,0,0,0,1,0,0,0
bakgamon,0,0,0,0,0,0,0,0,0,0
baki,0,0,0,0,0,0,0,0,0,0
bakteri,0,1,0,0,1,1,0,1,0,0
baku,0,0,0,0,0,0,0,0,0,0
bala bantu,0,0,0,0,0,0,0,0,0,1
balap,0,0,0,0,0,0,0,0,0,0
balapecah,0,0,0,0,0,0,0,0,0,0
balas,0,1,1,0,0,1,0,1,0,0
balas dendam,0,1,1,1,0,1,0,0,1,0
balet,1,0,0,0,0,0,0,0,0,0
baling,0,0,0,0,0,0,0,0,0,0
balkon,0,0,0,0,0,0,0,0,0,0
ballroom,0,0,0,0,0,0,0,0,0,0
balok,1,0,0,0,0,0,1,0,0,0
balon,0,0,0,0,0,0,0,0,0,0
balsamic,0,0,0,0,0,0,0,0,0,0
balsem,1,1,0,1,0,0,1,0,0,0
ban,0,1,0,0,0,0,0,0,0,0
banci,0,1,0,0,1,0,0,0,0,0
bandar,0,0,1,0,0,0,0,0,0,0
bandara,0,0,0,1,0,0,0,0,0,0
bandel,0,1,1,0,1,0,0,0,0,0
banding,0,0,0,0,0,0,0,0,0,0
banding balik,0,0,0,0,0,0,0,0,0,0
bandit,0,1,0,0,0,0,0,0,0,0
bandul,0,0,0,0,0,0,0,0,0,0
banger,0,1,1,1,0,1,0,0,1,0
bangga,1,0,0,1,0,0,1,0,0,1
bangkai,0,1,0,0,1,1,0,1,0,0
bangkang,0,1,1,0,1,0,0,0,0,0
bangkit,1,0,0,1,0,0,1,0,0,1
bangkrut,0,1,1,0,1,1,0,1,0,0
bangku,0,0,0,0,0,0,0,0,0,0
bangku gereja,0,0,0,0,0,0,0,0,0,0
